Author,Year,Title,Publisher,Keywords,Abstract,Document_Type,Repository_Link
Munsaka, Soddy Mweetwa; Ndhlovu, Jacob,2018,"Vitamin B12 and Folate deficiency in Megaloblastic Anaemia diagnosed morphologically at the University Teaching Hospital, Lusaka, Zambia","The International Journal of Multi-Disciplinary Research","Megaloblastic anaemia; pancytopenia; Vitamin B12 deficiency","Background: Vitamin B12 and folate deficiency is a well-known health problem world-wide. Deficiencies of folic acid and vitamin B12 are known to cause megaloblastic anaemia, which is characterised by presence of abnormally large erythrocyte precursor cells, megaloblasts, in the bone marrow and macrocytic red cells in the peripheral blood. These megaloblasts arise because of impaired DNA synthesis followed by ineffective erythropoiesis. However, vitamin B12 or folate levels have not been described in Zambia, whether normal levels or in relation to anaemia. The study aimed to determine vitamin B12 and folate levels in megaloblastic anaemia, diagnosed morphologically, in patients at the University Teaching Hospital, Lusaka. Methods: Cross-sectional study with FBC, smears and ELISA on megaloblastic anaemia and non-anaemic patients. Results: 40 patients, 35% male, 65% female, mean age 31. Bicytopenia in 22.5% and pancytopenia in 72.5%. Lower B12 and folate in anaemic patients. 60% had B12 deficiency, 30% pure folate deficiency, 15% combined. Conclusion: Majority of megaloblastic anaemia patients had B12 deficiency, implicating B12 and folate in disease process.","Article","http://dspace.unza.zm/handle/123456789/5330"
Prashar, Lavina; Lukubi, Lwindi; Goma, Fastone; Mushabati, Festus; Choongo, Kennedy,2015,"Physiological response of uterine muscle to Steganoteania araliacea in rat models","RA Publications","Steganotaenia araliacea; uterine; Oxytocin; Atropine","The bark root of Steganotaenia araliacea (Umbelliferae), nicknamed “herbal pitocin”, is used in traditional circles in Zambia to induce/enhance labour. This work investigated the contractile stimulatory effects of aqueous extracts of Steganotaenia araliacea (SAE) on isolated smooth muscle preparations of rat uterus. Methods: Isolated uterine muscle from gravid/non-gravid rats, tested with reference agonists/antagonists. Results: SAE showed contractile (uterotonic) activity on uterine tissue, increased amplitude and frequency of contractions. Salbutamol inhibited this effect, but atropine/indomethacin did not, suggesting non-muscarinic and non-prostaglandin biosynthesis dependence. Conclusion: SAE likely stimulates oxytocinergic receptors, justifying traditional uterotonic use.","Article","http://dspace.unza.zm/handle/123456789/5479"
Prashar, Lavina; Goma, Fastone; Kalungia, Chichony Aubrey; Bwalya, Angela Gono; Hamachila, Audrey; Mutati, Ronald Kampamba; Zingani, Ellah; Mwila, Chiluba; Musoke, Pamela,2016,"Indigenous Knowledge Systems for the Treatment of Hypertension in Lusaka, Zambia: Perceptions, Knowledge and Practice.","Zambian Medical Association","hypertension; traditional health practitioners; indigenous knowledge; medicinal plants","Indigenous knowledge systems and traditional technologies contribute to modern medicines. This study aimed to determine indigenous knowledge-based preparations for hypertension in Lusaka, Zambia. Twelve traditional healers managing hypertension were interviewed. Most healers were knowledgeable about causes/complications of hypertension and used herbal remedies with patient feedback and clinical confirmation as effectiveness indicators. Some remedies included non-plant origin substances. Divination/spiritual diagnosis was important. Healers' beliefs align with scientific management. Conclusion: Traditional healers in Zambia have knowledge aligned to science and use herbal remedies for hypertension management.","Article","http://dspace.unza.zm/handle/123456789/5494"
Prashar, Lavina; Muyenga, Tumelo; Bwalya, Angela Gono; Muungo, L.T.M,2015,"The Effect of Kigelia africana Fruit Extract on Blood Glucose in Diabetes Induced Mice","RA Publications","Alloxan monohydrate; antidiabetic; Kigelia africana fruit extract","This study determined the effect of Kigelia africana fruit extract on blood glucose levels in diabetic mice and its phytochemical profile. Mice induced with diabetes using alloxan; treated with various doses of Kigelia extract and glibenclamide. Results: Kigelia extract 1000mg/kg led to greater reduction in blood glucose than 500mg/kg or glibenclamide. Combination of extract and glibenclamide showed less effect than extract alone. Phytochemical tests showed tannins, saponins, flavonoids, alkaloids, glycosides, steroids. Conclusion: Kigelia africana fruit extract reduces blood glucose in diabetic mice, more effective alone than with glibenclamide.","Article","http://dspace.unza.zm/handle/123456789/5482"
Banda, S. S.,2007,"Determining how the knowledge of anatomy may Influence success or failure in clinical practice","Medical Journal of Zambia","Education, Medical, Undergraduate; Anatomy; Knowledge","Doctors' clinical experience was used to investigate how anatomical knowledge influenced success/failure in clinical encounters. Doctors described specific successful and unsuccessful encounters attributed to anatomical knowledge or its lack. Themes identified: ability to locate anatomical structures, interpret images, assess patients, evaluate anomalies, interpret lab reports. Results can inform clinically oriented anatomy curricula. Demonstrates qualitative research in clinical practice.","Article","http://dspace.unza.zm/handle/123456789/5833"
Vwalika, B.; Ahmed, Y.; Kasela, J.,2018,"Feto-Maternal Outcomes of Term Assisted Breech Deliveries at the University Teaching Hospital, Lusaka, Zambia","Medical Journal of Zambia","Breech presentation--Zambia; Fetal Presentation, Breech--Zambia; Obstetric Delivery--Zambia; Pregnancy--Zambia","Study of feto-maternal outcomes for 73 women with term breech at UTH, Lusaka. Results: Mean age 30.6 years; mean gestation 38.6 weeks. Apgar scores: 7.1 (1 min), 8.1 (5 min), 8.6 (10 min). 10% NICU admissions, low asphyxia rates, few maternal complications. Multivariate analysis: NICU admission linked to low Apgar at 1 min; type of breech associated with Apgar at 5 min. Conclusion: Breech vaginal delivery at term may still be a viable option at UTH.","Article","http://dspace.unza.zm/handle/123456789/5959"
Veli, L.; Gurbur, C.; Ahmet, S.; Bari, E.,1983,"Biomechanical basis of the tibial recurvation osteotomy","Medical Journal of Zambia","Osteotomy--Zambia; Tibial recurvation osteotomy--Zambia; Tibia, osteotomy--Zambia","Tibial recurvation osteotomy introduced by Lok et al. has been applied to over 140 patients, mainly poliomyelitis patients lacking quadriceps function. The operation modifies the knee joint angle to lock it early during stance, allowing walking with minimal muscle power. The optimal recurvation angle depends on muscle strength, particularly gluteus maximus and triceps. The study attempts to establish objective criteria for determining the recurvation angle biomechanically.","Article","http://dspace.unza.zm/handle/123456789/5817"
Allen, S.C.,1982,"A Cool Storage Pot for Insulin in Rural Africa","Medical Journal of Zambia","Insulin","Patients with insulin-dependent diabetes in rural Africa face challenges including infection, distance from hospitals, lack of refrigeration for insulin leading to loss of potency. This article discusses a cool storage pot for insulin to address this problem.","Article","http://dspace.unza.zm/handle/123456789/5949"
Allen, S.C.,1980,"The Effect of Iongterm Alcohol Exposure on Liver Choline Dehydrogenase Activity","Medical Journal of Zambia","Liver,Alcohol, Ethyl---Zambia; Liver Choline Dehydrogenase---Zambia; Liver,Absolute Alcohol,Rats---Zambia","Rats exposed to ethanol for up to 105 days showed a progressive increase in liver choline dehydrogenase activity, significant at 105 days. This may explain increased choline requirement with ethanol. Relevant for understanding alcohol-related liver disease, especially in regions with high alcohol intake and low dietary choline.","Article","http://dspace.unza.zm/handle/123456789/5424"
Allen, S.C.,1980,"The effect of longterm alcohol exposure on liver choline dehydrogenase activity","Medical Journal of Zambia","Choline; Liver; Ethanol","Rats exposed to ethanol for 54, 84, 105 days; progressive increase in liver choline dehydrogenase activity, significant at 105 days. May explain ethanol-induced increased choline requirement. Relevant to alcohol-related liver disease, especially in countries with high alcohol and low choline intake.","Article","http://dspace.unza.zm/handle/123456789/5996"
Akani, Maria A.,2016,"Prevalence of Post-Traumatic Stress Disorder Among Sexually Abused Children of the Child Abuse Centre at the University Teaching Hospital, Zambia","University of Zambia","Cognitive therapy for children--Case studies; Child sexual abuse--Psychological aspects; Sexually abused children--Rehabilitation","This study determined prevalence of PTSD among sexually abused children (n=192, mostly girls) at UTH's child abuse centre. Teenagers were nearly half of participants. Most abusers were male neighbours or boyfriends. PTSD prevalence was 33.3%, with 9% severe impairment. PTSD was associated with functional impairment and re-experiencing/hyper-arousal symptoms. No association with type of coercion. Conclusion: High prevalence of PTSD; most abuse involved unprotected penetrative sex. Police should be included in care for CSA victims.","Thesis","http://dspace.unza.zm/handle/123456789/4805"
Ali, Ali Salim,2012,"Clinical and epidemiological features of Salmonella Septicaemia at the University Teaching Hospital, Lusaka","University of Zambia","Epidemiology-Zambia","Study of 98 patients with positive blood cultures for Salmonella spp. at UTH. Most patients were aged 23-39. Commonest isolate: Salmonella typhimurium (60%). Sensitivity: 100% to Ceftazidime, Ciprofloxacin, Ceftriaxone. 15.5% HIV rate among patients. 75% had major co-morbidities (TB, meningitis, etc). Conclusion: Clinical features confounded by co-morbidities.","Thesis","http://dspace.unza.zm/handle/123456789/1308"
Alutuli, Luke,2012,"Evaluation of the Quality of Artemether/Lumefantrine, Sulphadoxine/Pyrimethamine and Quinine Sulphate Tablets in Public and private Health Institutions in Lusaka District","University of Zambia","Artemether; Anti-Tuberculosis Drugs; Sulphadoxine/Pyrimethamine; Quinine Sulphate Tablets","This study evaluated the quality of three antimalarial drugs in Lusaka. 20 institutions sampled, 430 tablets each drug tested. Found 6.98% of Sulphadoxine/Pyrimethamine tablets failed active ingredient requirements. Substandard drugs likely due to poor manufacturing, not counterfeiting. Recommendations: Strengthen post-marketing surveillance.","Thesis","http://dspace.unza.zm/handle/123456789/998"
Amadi, Beatrice Chifwelu,2012,"Effects of intervention on feeding practices in the intensive care unit at the University Teaching Hospital, Lusaka. Zambia","University of Zambia","Breast feeding","Study of knowledge, attitudes, practices on breastfeeding among healthworkers and mothers in NICU, UTH. Intervention: Lactation management course. Results: Improved knowledge and practices among healthworkers and mothers. NICU policies changed to support breastfeeding, reduced formula use. Recommendations for continued education and practice support.","Thesis","http://dspace.unza.zm/handle/123456789/1303"
Amadi, Waleruchi E,2012,"Prospective study of empyema thoracis at the University Teaching Hospital, Lusaka, Zambia","University of Zambia","Empyema(thoracis)--University Teaching Hospital --Zambia; AIDS-related complex(chest pains)--Zambia","","Thesis","http://dspace.unza.zm/handle/123456789/1482"
